SEASON	COMPETITION	PLAYER	TEAM	POS	OLD	NEW
1932	World Cup Qualifiers	Heliodoro Medina	RCO	DEF	59	62
1932	World Cup Qualifiers	Axel Berg	LVO	GK	76	78
1932	World Cup Qualifiers	Jesus Halconero	ASK	FWD	80	83
1932	World Cup Qualifiers	Otar Tvalchrelidze	AEK	DEF	56	59
1932	World Cup Qualifiers	Lebogang Du Phiri	ASP	MID	70	72
1932	World Cup Qualifiers	Dhanushkodi Thuraisingam	ARU	FWD	61	63
1932	World Cup Qualifiers	Semyon Volkov	GIA	GK	73	75
1932	World Cup Qualifiers	Jaroslav Navrátil	AKN	MID	60	62
1932	World Cup Qualifiers	Kenji Nagase	NHO	FWD	81	83
1932	World Cup Qualifiers	Victor Tvedt	SKJ	MID	84	85
1932	World Cup Qualifiers	Rosendo Zapatero	AUR	FWD	88	85
1932	World Cup Qualifiers	Harry Caine	ELV	FWD	90	88
1932	World Cup Qualifiers	Wesley Wetherby	ELV	DEF	86	84
1932	World Cup Qualifiers	Neçirvan Barzani	ADV	FWD	87	85
1932	nl1	Takeru Mikado	SPK	MID	85	84
1933	World Cup	Jakub Dvořák	ALE	MID	85	83
1933	World Cup	Valery Polyakov	GIA	FWD	75	77
1933	World Cup	Renzo Agbayani	SGD	GK	72	77
1933	World Cup	Kenichi Mitsui	NCH	FWD	89	90
1933	World Cup	Shō Itoshi	NCH	MID	91	87
1933	World Cup	Luca Higashiyama	NCH	MID	90	89
1933	World Cup	Rui Ōe	NCH	MID	88	87
1933	World Cup	Antoine Bagradian	ARV	MID	89	88
1933	World Cup	Leon Vogel	ESU	FWD	89	88
1933	World Cup	Pau Puigcorbé	ASK	FWD	88	87
1933	World Cup	Alton Begay	CAL	DEF	84	86
1933	World Cup	Takeru Mikado	NCH	MID	84	83
1933	nl1	Rúben Guerreiro	MAK	MID	75	77
1933	nl1	Kalle Vuorijärvi	TOY	DEF	75	77
1933	nl1	Basem Shenouda	SHZ	GK	81	83
1933	nl1	Ryōga Ikarashi	FCH	FWD	78	80
1933	nl1	Trent Hawthorne	ISS	FWD	90	91
1933	nl1	Luca Higashiyama	VIR	MID	89	90
1933	nl1	Rémi Gauthier	NIK	FWD	84	85
1933	nl1	Kazuyoshi Hiranuma	SPK	DEF	82	83
1933	nl1	August Rittenhouse	VIR	MID	81	85
1933	nl1	Nuno Gouveia	SPK	MID	78	79
1933	nl1	Jacinto Valencia	ISS	DEF	77	78
1933	nl1	Akseli Ruotsalainen	TOY	DEF	76	77
1933	nl1	Dānilo Pavlović	SEN	GK	74	75
1933	nl1	Lingyun Hao	NIK	DEF	73	74
1933	nl1	Rikuto Funabashi	SEN	MID	70	71
1933	nl1	Gvidas Rimkevičius	TAK	DEF	70	75
